No,Code,Vector,Outcome
78,hp1090,pET,x
79,hp1091,pET,x
80,hp1130,pET,x
81,hp1162,pET,x
82,hp1168,pET,x
83,hp1169,pET,x
84,hp1170,pET,2
85,hp1174,pET,2
86,hp1175,pET,x
87,hp1180,pET,x
88,hp1181,pET,x
89,hp1183,pET,x
90,hp1184,pET,x
91,hp1185,pET,x
92,hp1206,pET,x
93,hp1234,pET,x
94,hp1251,pET,x
95,hp1255,pET,x
96,hp1258,pET,x
97,hp1300,pET,x
98,hp1329,pET,x
99,hp1339,pET,x
100,hp1343,pET,x
101,hp1344,pET,x
102,hp1360,pET,x
103,hp1361,pET,x
104,hp1419,pET,x
105,hp1445,pET,x
106,hp1450,pET,x
107,hp1466,pET,x
108,hp1484,pET,x
109,hp1486,pET,x
110,hp1491,pET,0
111,hp1503,pET,x
112,hp1506,pET,0
113,hp1508,pET,x
114,hp1509,pET,2
115,hp1539,pET,x
116,hp1548,pET,x
117,hp1552,pET,2
118,hp1560,pET,x
119,hp1577,pET,3
120,hp1581,pET,x
