Protein,E. coli strain,Vector,Measurement,Outcome
MJ1319,C43(DE3),pTTQ18,dOD600,1.438848921
MJ1319,C43(DE3),pET52b(+),dOD600,2.782122905
MJ1319,C43(DE3),pWarf(-),dOD600,2.846405229
Mevan1511,C43(DE3),pTTQ18,dOD600,1.914893617
Mevan1511,C43(DE3),pET52b(+),dOD600,2.357142857
Mevan1511,C43(DE3),pWarf(-),dOD600,2.425742574
MMP0681,C43(DE3),pTTQ18,dOD600,1.762376238
MMP0681,C43(DE3),pET52b(+),dOD600,2.5
MMP0681,C43(DE3),pWarf(-),dOD600,3.558139535
Hbor39700,C43(DE3),pTTQ18,dOD600,3.416666667
Hbor39700,C43(DE3),pET52b(+),dOD600,3.037735849
Hbor39700,C43(DE3),pWarf(-),dOD600,2.645833333
AF2014,C43(DE3),pTTQ18,dOD600,3.859504132
AF2014,C43(DE3),pET52b(+),dOD600,4.553719008
AF2014,C43(DE3),pWarf(-),dOD600,3.612903226
Ta0252,C43(DE3),pTTQ18,dOD600,n.c.
Ta0252,C43(DE3),pET52b(+),dOD600,3.414965986
Ta0252,C43(DE3),pWarf(-),dOD600,3.170542636
Msed1117,C43(DE3),pTTQ18,dOD600,2.769230769
Msed1117,C43(DE3),pET52b(+),dOD600,4.25
Msed1117,C43(DE3),pWarf(-),dOD600,n.c.
pNG7043,C43(DE3),pTTQ18,dOD600,3.576
pNG7043,C43(DE3),pET52b(+),dOD600,n.c.
pNG7043,C43(DE3),pWarf(-),dOD600,3.647058824
Saci1848,C43(DE3),pTTQ18,dOD600,n.c.
Saci1848,C43(DE3),pET52b(+),dOD600,n.c.
Saci1848,C43(DE3),pWarf(-),dOD600,n.c.
SSO2938,BL21 Star,pTTQ18,Induction OD,0.668
SSO2938,BL21 Star,pET52b(+),Induction OD,0.584
SSO2938,BL21 Star,pWarf(-),Induction OD,0.716
SSO2528,BL21 Star,pTTQ18,Induction OD,0.585
SSO2528,BL21 Star,pET52b(+),Induction OD,0.72
SSO2528,BL21 Star,pWarf(-),Induction OD,0.535
SSO2042,BL21 Star,pTTQ18,Induction OD,0.58
SSO2042,BL21 Star,pET52b(+),Induction OD,0.605
SSO2042,BL21 Star,pWarf(-),Induction OD,0.64
SSO1665,BL21 Star,pTTQ18,Induction OD,0.72
SSO1665,BL21 Star,pET52b(+),Induction OD,0.716
SSO1665,BL21 Star,pWarf(-),Induction OD,0.636
Saci2039,BL21 Star,pTTQ18,Induction OD,0.425
Saci2039,BL21 Star,pET52b(+),Induction OD,0.435
Saci2039,BL21 Star,pWarf(-),Induction OD,0.43
MA1518,BL21 Star,pTTQ18,Induction OD,0.556
MA1518,BL21 Star,pET52b(+),Induction OD,0.504
MA1518,BL21 Star,pWarf(-),Induction OD,0.752
MJ1319,BL21 Star,pTTQ18,Induction OD,0.588
MJ1319,BL21 Star,pET52b(+),Induction OD,0.56
MJ1319,BL21 Star,pWarf(-),Induction OD,0.804
Mevan1511,BL21 Star,pTTQ18,Induction OD,0.475
Mevan1511,BL21 Star,pET52b(+),Induction OD,0.62
Mevan1511,BL21 Star,pWarf(-),Induction OD,0.625
MMP0681,BL21 Star,pTTQ18,Induction OD,0.72
MMP0681,BL21 Star,pET52b(+),Induction OD,0.535
MMP0681,BL21 Star,pWarf(-),Induction OD,0.48
Hbor39700,BL21 Star,pTTQ18,Induction OD,0.44
Hbor39700,BL21 Star,pET52b(+),Induction OD,0.53
Hbor39700,BL21 Star,pWarf(-),Induction OD,0.5
AF2014,BL21 Star,pTTQ18,Induction OD,0.635
AF2014,BL21 Star,pET52b(+),Induction OD,0.605
AF2014,BL21 Star,pWarf(-),Induction OD,0.59
Ta0252,BL21 Star,pTTQ18,Induction OD,n.c.
Ta0252,BL21 Star,pET52b(+),Induction OD,0.728
Ta0252,BL21 Star,pWarf(-),Induction OD,0.616
Msed1117,BL21 Star,pTTQ18,Induction OD,0.7
Msed1117,BL21 Star,pET52b(+),Induction OD,0.6
Msed1117,BL21 Star,pWarf(-),Induction OD,n.c.
pNG7043,BL21 Star,pTTQ18,Induction OD,0.528
pNG7043,BL21 Star,pET52b(+),Induction OD,n.c.
pNG7043,BL21 Star,pWarf(-),Induction OD,0.604
Saci1848,BL21 Star,pTTQ18,Induction OD,0.8
Saci1848,BL21 Star,pET52b(+),Induction OD,n.c.
Saci1848,BL21 Star,pWarf(-),Induction OD,n.c.
SSO2938,BL21 Star,pTTQ18,Harvesting OD,0.68
SSO2938,BL21 Star,pET52b(+),Harvesting OD,1.008
SSO2938,BL21 Star,pWarf(-),Harvesting OD,0.788
SSO2528,BL21 Star,pTTQ18,Harvesting OD,0.73
SSO2528,BL21 Star,pET52b(+),Harvesting OD,0.91
SSO2528,BL21 Star,pWarf(-),Harvesting OD,0.45
SSO2042,BL21 Star,pTTQ18,Harvesting OD,1.19
SSO2042,BL21 Star,pET52b(+),Harvesting OD,0.62
SSO2042,BL21 Star,pWarf(-),Harvesting OD,0.595
SSO1665,BL21 Star,pTTQ18,Harvesting OD,2.024
SSO1665,BL21 Star,pET52b(+),Harvesting OD,2.196
SSO1665,BL21 Star,pWarf(-),Harvesting OD,2.196
Saci2039,BL21 Star,pTTQ18,Harvesting OD,0.465
Saci2039,BL21 Star,pET52b(+),Harvesting OD,0.64
Saci2039,BL21 Star,pWarf(-),Harvesting OD,0.435
MA1518,BL21 Star,pTTQ18,Harvesting OD,1.312
MA1518,BL21 Star,pET52b(+),Harvesting OD,1.212
MA1518,BL21 Star,pWarf(-),Harvesting OD,1.52
MJ1319,BL21 Star,pTTQ18,Harvesting OD,0.736
MJ1319,BL21 Star,pET52b(+),Harvesting OD,0.66
